gene,max_deviation,min_pvalue
GPR158,22.334454386468472,1.0
GP5,22.334454386468472,1.0
MTNR1B,22.334454386468472,1.0
INSRR,22.33351041334142,1.0
OVOL2,22.33351041334142,1.0
ANGPTL8,22.33351041334142,1.0
GABRA5,22.33351041334142,1.0
GALR1,22.33351041334142,1.0
RLN3,22.33351041334142,1.0
PROC,22.332575474073522,1.0
CALB2,22.332575474073522,1.0
FUT3,22.332575474073522,1.0
FETUB,22.332575474073522,1.0
RS1,22.332575474073522,1.0
CASC8,22.332575474073522,1.0
HOXA10,22.332575474073522,1.0
GDNF,22.332575474073522,1.0
MC3R,22.332575474073522,1.0
TFR2,22.331649314161417,1.0
UMOD,22.331649314161417,1.0
CHRM5,22.331649314161417,1.0
GABRQ,22.331649314161417,1.0
IRS4,22.331649314161417,1.0
PASD1,22.331649314161417,1.0
DDX3Y,22.331649314161417,1.0
EGR4,22.331649314161417,1.0
SERPINA12,22.331649314161417,1.0
KCNJ9,22.330731690831797,1.0
CRYGC,22.330731690831797,1.0
ATOH1,22.330731690831797,1.0
EN2,22.330731690831797,1.0
UGT1A4,22.330731690831797,1.0
MFRP,22.330731690831797,1.0
MTNR1A,22.330731690831797,1.0
TBX4,22.330731690831797,1.0
UGT1A1,22.330731690831797,1.0
NPFFR2,22.329822372298178,1.0
IMPG1,22.329822372298178,1.0
ABCC12,22.329822372298178,1.0
PRM1,22.32892113707716,1.0
LHCGR,22.32892113707716,1.0
CTSG,22.32892113707716,1.0
IFNL1,22.32892113707716,1.0
USP6,22.32802777335843,1.0
HNF1A,22.32802777335843,1.0
CBARP,22.32714207842343,1.0
HNF1B,22.32714207842343,1.0
WT1,22.32714207842343,1.0
HOXB9,22.32626385810824,1.0
KCNU1,22.32626385810824,1.0
P2RX3,22.32626385810824,1.0
MC4R,22.32626385810824,1.0
UGT1A9,22.32626385810824,1.0
CCL1,22.32626385810824,1.0
KHDC3L,22.32539292630651,1.0
IL20,22.32539292630651,1.0
MSLN,22.32539292630651,1.0
NPPB,22.32539292630651,1.0
CYP4F2,22.324529104508972,1.0
TACR3,22.324529104508972,1.0
LRRC3B,22.323672221376242,1.0
PCDHA1,22.323672221376242,1.0
GRM4,22.323672221376242,1.0
CACNA1B,22.323672221376242,1.0
SERPINB2,22.323672221376242,1.0
DNAH5,22.32282211234199,1.0
RSPO2,22.32282211234199,1.0
NYX,22.32282211234199,1.0
IRX1,22.32282211234199,1.0
CRNN,22.32282211234199,1.0
CCL15,22.32282211234199,1.0
COL2A1,22.32282211234199,1.0
SLC15A1,22.32282211234199,1.0
ZFP57,22.32197861924394,1.0
IGFN1,22.32197861924394,1.0
SLC22A9,22.32197861924394,1.0
PNPLA1,22.32197861924394,1.0
NOL4,22.32197861924394,1.0
AGXT,22.32197861924394,1.0
MNX1,22.32197861924394,1.0
CST1,22.32197861924394,1.0
CHRNB2,22.321141589980307,1.0
NLRP9,22.321141589980307,1.0
NGF,22.321141589980307,1.0
MAL2,22.321141589980307,1.0
MAGEC1,22.321141589980307,1.0
DEFB103B,22.321141589980307,1.0
HCRTR1,22.321141589980307,1.0
CASR,22.321141589980307,1.0
MAS1,22.321141589980307,1.0
ADCY2,22.320310878189588,1.0
CNTNAP4,22.319486342951752,1.0
INHA,22.319486342951752,1.0
RIPK4,22.31866784850918,1.0
HOTAIR,22.31866784850918,1.0
AQP4,22.31785526400569,1.0
TMPRSS2,22.31785526400569,1.0
ACTL7A,22.317048463242344,1.0
CALML3,22.317048463242344,1.0
ACTBL2,22.317048463242344,1.0
RASGEF1C,22.317048463242344,1.0
HOXC11,22.317048463242344,1.0
CYP1A2,22.316247324448607,1.0
CNGB1,22.316247324448607,1.0
HS3ST2,22.316247324448607,1.0
CD5L,22.316247324448607,1.0
KCNF1,22.315451730067828,1.0
BDNF,22.315451730067828,1.0
PTPN5,22.315451730067828,1.0
LIM2,22.31466156655586,1.0
TEKT3,22.31466156655586,1.0
SLC6A17,22.31466156655586,1.0
KCNK18,22.31466156655586,1.0
SOSTDC1,22.31466156655586,1.0
OPALIN,22.31466156655586,1.0
ADRA1D,22.31466156655586,1.0
CSRP3,22.313876724191893,1.0
EGF,22.313876724191893,1.0
TTPA,22.313876724191893,1.0
C8B,22.313876724191893,1.0
HMX2,22.31309709690062,1.0
CCDC33,22.31309709690062,1.0
SSX1,22.31309709690062,1.0
GAGE1,22.31309709690062,1.0
SERPINA9,22.31232258208488,1.0
CA14,22.31232258208488,1.0
MYH1,22.31232258208488,1.0
IL5,22.31232258208488,1.0
BAAT,22.31232258208488,1.0
LIPF,22.31155308046805,1.0
RPE65,22.31155308046805,1.0
KCNC1,22.31155308046805,1.0
DUOXA2,22.31155308046805,1.0
MAPK15,22.31155308046805,1.0
BIRC7,22.310788495945523,1.0
KCNK15,22.310028735444586,1.0
CRHR1,22.309273708792194,1.0
CCKBR,22.3077775100965,1.0
FAT3,22.3077775100965,1.0
NEUROD2,22.3077775100965,1.0
MRAP,22.3077775100965,1.0
TGM4,22.307036171114863,1.0
CDX2,22.307036171114863,1.0
PITX1,22.307036171114863,1.0
WDR72,22.30629923188767,1.0
TMPRSS11E,22.30629923188767,1.0
LMX1B,22.305566614996533,1.0
SAA4,22.305566614996533,1.0
KPRP,22.305566614996533,1.0
GRIA2,22.305566614996533,1.0
DRD3,22.305566614996533,1.0
PAEP,22.305566614996533,1.0
ARR3,22.305566614996533,1.0
TSPAN8,22.305566614996533,1.0
IHH,22.305566614996533,1.0
AIRE,22.305566614996533,1.0
WEE2,22.3048382452672,1.0
POU3F4,22.3048382452672,1.0
FOXL2,22.3048382452672,1.0
DNAI1,22.3048382452672,1.0
HSD11B2,22.3048382452672,1.0
SYT16,22.304114049679537,1.0
MYH4,22.304114049679537,1.0
FSHR,22.304114049679537,1.0
RXFP2,22.303393957282097,1.0
RXFP3,22.303393957282097,1.0
TRHR,22.303393957282097,1.0
ISL1,22.303393957282097,1.0
SLC26A3,22.303393957282097,1.0
SLC5A1,22.303393957282097,1.0
RIMS4,22.303393957282097,1.0
LIPC,22.303393957282097,1.0
TKTL1,22.303393957282097,1.0
DHRS2,22.30267789911096,1.0
NPSR1,22.30267789911096,1.0
BHMT,22.30196580811269,1.0
NEK5,22.30196580811269,1.0
CA4,22.30196580811269,1.0
GBX2,22.30196580811269,1.0
IL22RA1,22.30196580811269,1.0
EN1,22.30055326853713,1.0
NECAB2,22.299852694763374,1.0
KLK10,22.29915583764002,1.0
SCGN,22.29915583764002,1.0
IL37,22.29915583764002,1.0
IL17B,22.29915583764002,1.0
CHRNB3,22.29846263863511,1.0
KCNK4,22.29846263863511,1.0
CACNG3,22.29846263863511,1.0
WNT4,22.297086988399982,1.0
DNAH10,22.297086988399982,1.0
LACRT,22.297086988399982,1.0
HPD,22.297086988399982,1.0
SLC2A2,22.296404427491385,1.0
EYA4,22.296404427491385,1.0
HABP2,22.295725305242403,1.0
PDYN,22.295725305242403,1.0
CAMK2B,22.295725305242403,1.0
TBR1,22.29504957020016,1.0
GABRP,22.29504957020016,1.0
TSPAN10,22.29504957020016,1.0
GABRG3,22.29504957020016,1.0
BARX2,22.29504957020016,1.0
CTNND2,22.29504957020016,1.0
KCNV1,22.29504957020016,1.0
UCN,22.29504957020016,1.0
PCDH20,22.29504957020016,1.0
CA10,22.294377172182273,1.0
TRH,22.294377172182273,1.0
POPDC3,22.29370806223337,1.0
TRPM3,22.29370806223337,1.0
SCGB1D2,22.29370806223337,1.0
LPAR3,22.29370806223337,1.0
SOX11,22.29304219258348,1.0
NLRP11,22.29304219258348,1.0
IL13RA2,22.29304219258348,1.0
RHAG,22.29304219258348,1.0
MLANA,22.29304219258348,1.0
FGF4,22.29237951660825,1.0
IL23A,22.29237951660825,1.0
UTS2,22.29237951660825,1.0
VSTM2B,22.291719988790828,1.0
NPAS4,22.291063564685395,1.0
PAX7,22.290410200882203,1.0
ENTPD2,22.290410200882203,1.0
CASQ2,22.290410200882203,1.0
ILDR2,22.28975985497408,1.0
PROP1,22.289112485524303,1.0
MBL2,22.289112485524303,1.0
CHRM2,22.289112485524303,1.0
KCNJ16,22.289112485524303,1.0
GABRA1,22.288468052035793,1.0
NPY2R,22.288468052035793,1.0
PCDH10,22.288468052035793,1.0
CCL27,22.287826514921544,1.0
GCGR,22.287826514921544,1.0
CCR9,22.28718783547626,1.0
GRP,22.28718783547626,1.0
SOX6,22.28718783547626,1.0
DDX53,22.28718783547626,1.0
TRPM1,22.28718783547626,1.0
SLITRK1,22.286551975849093,1.0
MYH2,22.286551975849093,1.0
SPZ1,22.286551975849093,1.0
CARD14,22.285918899017467,1.0
ARHGAP36,22.285918899017467,1.0
HTR1D,22.285918899017467,1.0
PITX2,22.285918899017467,1.0
CRYBB3,22.285918899017467,1.0
PPP1R1B,22.285918899017467,1.0
GDF9,22.285288568761928,1.0
DRD2,22.285288568761928,1.0
KCNQ2,22.285288568761928,1.0
IL25,22.285288568761928,1.0
CYP17A1,22.28466094964196,1.0
CHRNA7,22.28403600697273,1.0
FGF9,22.28403600697273,1.0
TRIM67,22.28403600697273,1.0
ACE2,22.28403600697273,1.0
SLITRK5,22.28341370680273,1.0
HCN4,22.28341370680273,1.0
BCHE,22.282794015892236,1.0
SLC10A1,22.282794015892236,1.0
KCNJ6,22.282794015892236,1.0
OLIG1,22.282794015892236,1.0
CMYA5,22.28217690169261,1.0
GABRA6,22.281562332326324,1.0
STK32A,22.281562332326324,1.0
NODAL,22.280950276567783,1.0
TCERG1L,22.280950276567783,1.0
SERPINB5,22.280340703824777,1.0
BDKRB1,22.27973358412065,1.0
GLP1R,22.2791288880771,1.0
TMEFF2,22.27792665235136,1.0
BTNL2,22.27792665235136,1.0
SALL4,22.277329056757953,1.0
CYP2C19,22.27673377297233,1.0
CABCOCO1,22.27673377297233,1.0
SLC22A2,22.276140774370504,1.0
OPRM1,22.274961528744484,1.0
GABRA3,22.274961528744484,1.0
VSNL1,22.274961528744484,1.0
CALR3,22.274375230954742,1.0
WNT3A,22.273791116792193,1.0
GP6,22.273791116792193,1.0
FEZF1,22.273791116792193,1.0
HTR2C,22.273209162038743,1.0
BCAR4,22.273209162038743,1.0
DNAH2,22.272629342920673,1.0
NOS2,22.272051636097324,1.0
TRPC7,22.27147601865011,1.0
OCM2,22.27090246807192,1.0
CPNE9,22.27033096225685,1.0
GUCY2C,22.27033096225685,1.0
CPS1,22.27033096225685,1.0
CNDP1,22.269193998439146,1.0
HCRT,22.269193998439146,1.0
ITGA2B,22.268628498142814,1.0
ALOX12,22.268628498142814,1.0
OXTR,22.268628498142814,1.0
SNTG2,22.268628498142814,1.0
MAGEA11,22.268628498142814,1.0
C9,22.26806495800385,1.0
IL17F,22.26750335777937,1.0
CHRNB4,22.26750335777937,1.0
DRC3,22.266943677572513,1.0
CPLX3,22.266943677572513,1.0
POU4F3,22.266943677572513,1.0
OTX2,22.266943677572513,1.0
EMX2,22.266943677572513,1.0
GH1,22.26638589782425,1.0
DAOA,22.26638589782425,1.0
CBLN1,22.265829999305378,1.0
DEFB4A,22.265829999305378,1.0
GPR37,22.265275963108802,1.0
HOXA11,22.265275963108802,1.0
MYOT,22.265275963108802,1.0
SLITRK2,22.264723770642036,1.0
LRRTM1,22.264723770642036,1.0
HHLA2,22.264723770642036,1.0
SP9,22.264173403619893,1.0
DDC,22.264173403619893,1.0
RPRM,22.264173403619893,1.0
WNT1,22.263078074263216,1.0
AFM,22.261989834640428,1.0
SLC6A1,22.26144833083687,1.0
AGTR2,22.26144833083687,1.0
SCNN1A,22.260908548839087,1.0
STH,22.26037047232644,1.0
KIR3DL1,22.26037047232644,1.0
GCKR,22.26037047232644,1.0
SPINK7,22.26037047232644,1.0
CMA1,22.259834085234505,1.0
ITGB6,22.25876631630274,1.0
GTF2A1L,22.25876631630274,1.0
POU2F3,22.25823490356555,1.0
AVPR1B,22.25823490356555,1.0
CPB2,22.257705118443926,1.0
DACT2,22.257705118443926,1.0
GPR37L1,22.257176946073628,1.0
FRMD7,22.257176946073628,1.0
IRGM,22.25612538124968,1.0
IL17D,22.255601960173134,1.0
FOLR1,22.25508009459302,1.0
ANXA10,22.25508009459302,1.0
HPCA,22.25508009459302,1.0
FOXI1,22.254559770723397,1.0
HTR6,22.254559770723397,1.0
PRL,22.254040974980764,1.0
NEUROG2,22.254040974980764,1.0
INSM1,22.253523693979925,1.0
GDF5,22.253523693979925,1.0
IFNL3,22.253007914529956,1.0
NKX2-1,22.25249362363028,1.0
ABCC8,22.25249362363028,1.0
TRPM8,22.251980808466843,1.0
KCNH1,22.251469456408397,1.0
MASP2,22.250959555002858,1.0
NR2E3,22.250451091973773,1.0
FOXA2,22.24843138404931,1.0
SCGB1D1,22.246433751424163,1.0
CNMD,22.245937708681115,1.0
HTR1B,22.245442990491874,1.0
NAT2,22.245442990491874,1.0
RXFP1,22.245442990491874,1.0
LIN28B,22.245442990491874,1.0
TRPC5,22.245442990491874,1.0
PEBP4,22.244949586302123,1.0
SLC17A8,22.244949586302123,1.0
GRIA1,22.244949586302123,1.0
KCNK12,22.24445748569699,1.0
KCNT1,22.24445748569699,1.0
RNF39,22.24445748569699,1.0
GCM1,22.243966678398447,1.0
FOXC2,22.243966678398447,1.0
NLGN3,22.243966678398447,1.0
SLC5A5,22.243966678398447,1.0
NEFM,22.243477154262823,1.0
GPT,22.243477154262823,1.0
CCAT2,22.243477154262823,1.0
OLIG2,22.242988903278366,1.0
DOC2A,22.242988903278366,1.0
IL19,22.242501915562833,1.0
KLF5,22.24201618136117,1.0
RP1L1,22.241531691043228,1.0
CCDC103,22.24104843510154,1.0
SEC14L3,22.24104843510154,1.0
ART3,22.23960598025412,1.0
DYDC1,22.23960598025412,1.0
IFNB1,22.239127569121166,1.0
RLN2,22.239127569121166,1.0
PTH,22.23817430385362,1.0
NPPA,22.23817430385362,1.0
GPR83,22.23817430385362,1.0
LBX1,22.23817430385362,1.0
KLF17,22.237699432196603,1.0
ATOH7,22.237699432196603,1.0
KIR2DL1,22.237225723021336,1.0
IL31,22.236753167832145,1.0
MS4A2,22.236753167832145,1.0
SLC6A4,22.236753167832145,1.0
BNC1,22.236753167832145,1.0
HNF4A,22.236281758236352,1.0
GRIK4,22.236281758236352,1.0
IFNGR1,22.235814240383,0.009900990099009901
SOX14,22.2358114859425,1.0
EZHIP,22.2358114859425,1.0
CFC1,22.235342342758685,1.0
TEX35,22.235342342758685,1.0
SLC16A9,22.235342342758685,1.0
SPANXB1,22.235342342758685,1.0
LGALS13,22.235342342758685,1.0
ALK,22.23487432059087,1.0
CD207,22.234407411441257,1.0
SAXO1,22.234407411441257,1.0
GLRA3,22.233013283534135,1.0
HAMP,22.233013283534135,1.0
ART4,22.232089287582497,1.0
PAX3,22.2316288937814,1.0
CHIT1,22.231169559578998,1.0
IL36G,22.231169559578998,1.0
KCNH2,22.231169559578998,1.0
ELMOD1,22.230254040923256,1.0
TSBP1,22.229342674343755,1.0
CRH,22.229342674343755,1.0
TFAP2B,22.228435403856018,1.0
PAGE4,22.22753217472249,1.0
NXPH2,22.22753217472249,1.0
SLC17A7,22.22753217472249,1.0
CTCFL,22.227082058889504,1.0
HBG1,22.226632933413985,1.0
CYP2J2,22.226632933413985,1.0
TAFA4,22.226632933413985,1.0
PLG,22.22618479178752,1.0
CHRM4,22.22618479178752,1.0
KCNH4,22.22618479178752,1.0
SLC3A1,22.225737627572677,1.0
